sensorName,lat,long,transmitDateTime,CO,NH3,NO2,TDS,turbidity
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 5:00,4.593986,0.461496,0.614142,,
The Quad,47.6569545,-122.3078511,2/11/2025 6:00,4.382427,0.744952,0.590784,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 7:00,4.143376,0.243198,0.067152,,
Union Bay,47.65538146,-122.2924873,2/11/2025 8:00,4.080724,0.788175,0.459522,,
Union Bay,47.65538146,-122.2924873,2/11/2025 9:00,4.857547,0.514369,-0.00359,,
The Quad,47.6569545,-122.3078511,2/11/2025 10:00,4.282527,0.779146,0.296314,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 11:00,4.753749,0.364293,0.53463,,
The Quad,47.6569545,-122.3078511,2/11/2025 12:00,4.088276,0.970124,-0.019179,,
The Quad,47.6569545,-122.3078511,2/11/2025 13:00,4.849989,0.508576,0.295792,,
The Quad,47.6569545,-122.3078511,2/11/2025 14:00,4.033115,0.259401,0.391158,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 15:00,4.079011,0.400962,-0.038498,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 16:00,4.714654,0.989955,0.487804,,
Union Bay,47.65538146,-122.2924873,2/11/2025 17:00,4.384887,0.578344,-0.079301,,
Union Bay,47.65538146,-122.2924873,2/11/2025 18:00,3.905695,0.632409,0.028687,,
Arboretum,47.65810245,-122.2987361,2/11/2025 19:00,4.081895,0.922335,0.258861,,
Union Bay,47.65538146,-122.2924873,2/11/2025 20:00,4.737069,0.950182,-0.195952,,
The Quad,47.6569545,-122.3078511,2/11/2025 21:00,4.422919,0.287068,0.63533,,
Union Bay,47.65538146,-122.2924873,2/11/2025 22:00,3.999484,0.330839,0.649962,,
Arboretum,47.65810245,-122.2987361,2/11/2025 23:00,4.824298,0.424456,0.655008,,
The Quad,47.6569545,-122.3078511,2/12/2025 0:00,4.506955,0.800734,-0.058648,,
Arboretum,47.65810245,-122.2987361,2/12/2025 1:00,3.903932,0.210726,-0.008162,,
Arboretum,47.65810245,-122.2987361,2/12/2025 2:00,4.554662,0.64668,-0.258751,,
Sylvan Grove,47.65319212,-122.3067571,2/12/2025 3:00,4.596191,0.400919,0.590854,,
Arboretum,47.65810245,-122.2987361,2/12/2025 4:00,4.854582,0.497381,0.626118,,
The Quad,47.6569545,-122.3078511,2/12/2025 5:00,4.736545,0.334149,0.112059,,
Sylvan Grove,47.65319212,-122.3067571,2/12/2025 6:00,4.189751,0.431413,-0.136641,,
Union Bay,47.65538146,-122.2924873,2/12/2025 7:00,4.544942,0.579551,0.452463,,
Sylvan Grove,47.65319212,-122.3067571,2/12/2025 8:00,4.879995,0.159154,-0.216339,,
Sylvan Grove,47.65319212,-122.3067571,2/12/2025 9:00,4.809183,0.229755,0.182434,,
Arboretum,47.65810245,-122.2987361,2/12/2025 10:00,4.810258,0.354689,0.396854,,
Sylvan Grove,47.65319212,-122.3067571,2/12/2025 11:00,4.436392,0.24989,-0.215922,,
Arboretum,47.65810245,-122.2987361,2/12/2025 12:00,4.007084,0.805665,-0.169275,,
The Quad,47.6569545,-122.3078511,2/12/2025 13:00,4.065082,0.973142,0.636401,,
Union Bay,47.65538146,-122.2924873,2/12/2025 14:00,4.532529,0.497217,-0.165582,,
Union Bay,47.65538146,-122.2924873,2/12/2025 15:00,4.586012,0.290094,0.580156,,
The Quad,47.6569545,-122.3078511,2/12/2025 16:00,4.001721,1.068549,0.016577,,
Arboretum,47.65810245,-122.2987361,2/12/2025 17:00,4.0134,1.030057,0.604806,,
Union Bay,47.65538146,-122.2924873,2/12/2025 18:00,4.787242,0.507984,0.103835,,
Arboretum,47.65810245,-122.2987361,2/12/2025 19:00,3.99703,1.089488,0.512207,,
Union Bay,47.65538146,-122.2924873,2/12/2025 20:00,4.370926,0.564682,-0.298533,,
Union Bay,47.65538146,-122.2924873,2/12/2025 21:00,3.918635,0.716021,0.486692,,
Arboretum,47.65810245,-122.2987361,2/12/2025 22:00,4.641061,0.22853,0.604201,,
The Quad,47.6569545,-122.3078511,2/12/2025 23:00,4.040142,0.379671,0.324316,,
Union Bay,47.65538146,-122.2924873,2/13/2025 0:00,4.719943,0.748147,0.031106,,
Sylvan Grove,47.65319212,-122.3067571,2/13/2025 1:00,4.640019,0.357136,0.31448,,
The Quad,47.6569545,-122.3078511,2/13/2025 2:00,4.111712,0.639748,-0.191653,,
Union Bay,47.65538146,-122.2924873,2/13/2025 3:00,4.860064,0.940027,-0.339967,,
Arboretum,47.65810245,-122.2987361,2/13/2025 4:00,4.698778,0.84324,-0.320606,,
Union Bay,47.65538146,-122.2924873,2/13/2025 5:00,4.671041,0.751163,-0.031473,,
Union Bay,47.65538146,-122.2924873,2/13/2025 6:00,4.301471,0.740028,0.099471,,
Union Bay,47.65538146,-122.2924873,2/13/2025 7:00,4.019518,0.997973,-0.137877,,
The Quad,47.6569545,-122.3078511,2/13/2025 8:00,4.697174,0.325635,-0.04681,,
The Quad,47.6569545,-122.3078511,2/13/2025 9:00,4.144647,1.055216,-0.337119,,
Sylvan Grove,47.65319212,-122.3067571,2/13/2025 10:00,3.991117,0.88405,0.225797,,
Union Bay,47.65538146,-122.2924873,2/13/2025 11:00,4.558173,1.009049,0.284963,,
The Quad,47.6569545,-122.3078511,2/13/2025 12:00,4.828799,0.905567,0.442774,,
Union Bay,47.65538146,-122.2924873,2/13/2025 13:00,3.907637,0.216645,0.4009,,
The Quad,47.6569545,-122.3078511,2/13/2025 14:00,4.843831,0.721751,0.051036,,
Sylvan Grove,47.65319212,-122.3067571,2/13/2025 15:00,4.262948,0.187514,-0.005902,,
Arboretum,47.65810245,-122.2987361,2/13/2025 16:00,4.40479,0.196936,0.397618,,
Sylvan Grove,47.65319212,-122.3067571,2/13/2025 17:00,4.687979,0.673807,0.003152,,
The Quad,47.6569545,-122.3078511,2/13/2025 18:00,4.314338,0.522687,0.415418,,
The Quad,47.6569545,-122.3078511,2/13/2025 19:00,4.250647,0.236851,0.387191,,
Union Bay,47.65538146,-122.2924873,2/13/2025 20:00,4.295382,0.919473,0.092285,,
Arboretum,47.65810245,-122.2987361,2/13/2025 21:00,4.498359,0.555858,0.038021,,
Arboretum,47.65810245,-122.2987361,2/13/2025 22:00,4.160937,0.31585,0.423829,,
The Quad,47.6569545,-122.3078511,2/13/2025 23:00,4.436915,0.576625,0.575815,,
Sylvan Grove,47.65319212,-122.3067571,2/14/2025 0:00,4.804718,0.914856,0.456616,,
The Quad,47.6569545,-122.3078511,2/14/2025 1:00,4.756276,0.993889,-0.057711,,
The Quad,47.6569545,-122.3078511,2/14/2025 2:00,4.317129,0.451757,-0.254501,,
Union Bay,47.65538146,-122.2924873,2/14/2025 3:00,4.548205,1.011575,-0.025006,,
Arboretum,47.65810245,-122.2987361,2/14/2025 4:00,4.353134,0.902716,0.470293,,
The Quad,47.6569545,-122.3078511,2/14/2025 5:00,4.052773,0.380463,0.319341,,
Sylvan Grove,47.65319212,-122.3067571,2/14/2025 6:00,4.012899,0.18429,-0.105691,,
The Quad,47.6569545,-122.3078511,2/14/2025 7:00,4.824711,0.709688,0.459758,,
Arboretum,47.65810245,-122.2987361,2/14/2025 8:00,4.069651,0.43202,0.363527,,
Union Bay,47.65538146,-122.2924873,2/14/2025 9:00,3.975118,0.491685,0.142847,,
Union Bay,47.65538146,-122.2924873,2/14/2025 10:00,4.606097,0.278489,0.202312,,
Arboretum,47.65810245,-122.2987361,2/14/2025 11:00,4.847324,1.042351,-0.000497,,
Union Bay,47.65538146,-122.2924873,2/14/2025 12:00,4.479642,0.937702,0.108444,,
Union Bay,47.65538146,-122.2924873,2/14/2025 13:00,4.014349,0.410852,-0.010776,,
The Quad,47.6569545,-122.3078511,2/14/2025 14:00,4.491976,0.486561,0.241645,,
Union Bay,47.65538146,-122.2924873,2/14/2025 15:00,4.239644,0.555997,0.544642,,
The Quad,47.6569545,-122.3078511,2/14/2025 16:00,4.857618,0.837226,0.534408,,
Union Bay,47.65538146,-122.2924873,2/14/2025 17:00,4.273123,0.518156,0.61172,,
Arboretum,47.65810245,-122.2987361,2/14/2025 18:00,4.607783,1.086761,0.32155,,
The Quad,47.6569545,-122.3078511,2/14/2025 19:00,4.566214,0.321936,0.308686,,
Union Bay,47.65538146,-122.2924873,2/14/2025 20:00,4.308911,1.102757,0.492159,,
Sylvan Grove,47.65319212,-122.3067571,2/14/2025 21:00,4.765858,1.094218,0.228078,,
Union Bay,47.65538146,-122.2924873,2/14/2025 22:00,4.202806,1.0382,-0.237104,,
Arboretum,47.65810245,-122.2987361,2/14/2025 23:00,4.676006,0.563954,0.631567,,
The Quad,47.6569545,-122.3078511,2/15/2025 0:00,4.200285,0.537286,0.107074,,
Union Bay,47.65538146,-122.2924873,2/15/2025 1:00,4.515404,1.008264,0.241383,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 2:00,4.390814,0.623882,-0.216094,,
Union Bay,47.65538146,-122.2924873,2/15/2025 3:00,4.322648,0.655368,0.139564,,
Union Bay,47.65538146,-122.2924873,2/15/2025 4:00,4.888434,0.883461,0.456619,,
Union Bay,47.65538146,-122.2924873,2/15/2025 5:00,4.530494,0.883358,0.34066,,
Arboretum,47.65810245,-122.2987361,2/15/2025 6:00,4.094256,0.811294,0.302454,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 7:00,4.858825,0.908749,-0.12905,,
The Quad,47.6569545,-122.3078511,2/15/2025 8:00,4.050685,0.79168,0.037724,,
Arboretum,47.65810245,-122.2987361,2/15/2025 9:00,4.701781,0.712018,0.000643,,
Union Bay,47.65538146,-122.2924873,2/15/2025 10:00,3.965685,0.956332,0.081298,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 11:00,4.381175,0.582461,-0.111629,,
The Quad,47.6569545,-122.3078511,2/15/2025 12:00,4.151717,0.331534,0.107322,,
Arboretum,47.65810245,-122.2987361,2/15/2025 13:00,4.351867,0.713841,-0.073696,,
Arboretum,47.65810245,-122.2987361,2/15/2025 14:00,4.567394,0.939165,-0.060357,,
Union Bay,47.65538146,-122.2924873,2/15/2025 15:00,4.632403,1.145717,-0.248655,,
Arboretum,47.65810245,-122.2987361,2/15/2025 16:00,4.658142,1.010168,0.634353,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 17:00,4.057783,1.00775,-0.187851,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 18:00,4.055491,0.438548,-0.039556,,
Union Bay,47.65538146,-122.2924873,2/15/2025 19:00,4.60251,0.845427,0.274264,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 20:00,4.846252,0.822776,0.656869,,
The Quad,47.6569545,-122.3078511,2/15/2025 21:00,4.86966,0.855864,-0.158474,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 22:00,4.153591,0.174657,0.641996,,
Sylvan Grove,47.65319212,-122.3067571,2/15/2025 23:00,4.849197,0.807621,0.603185,,
Union Bay,47.65538146,-122.2924873,2/16/2025 0:00,4.214181,0.510723,-0.213392,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 1:00,4.285707,1.001715,-0.242785,,
Union Bay,47.65538146,-122.2924873,2/16/2025 2:00,4.46986,1.015096,-0.123004,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 3:00,4.797197,0.253441,-0.26891,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 4:00,4.198598,0.931264,0.257258,,
Arboretum,47.65810245,-122.2987361,2/16/2025 5:00,4.200873,0.185653,0.607734,,
Arboretum,47.65810245,-122.2987361,2/16/2025 6:00,4.394579,0.683337,-0.205274,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 7:00,4.054222,0.779999,0.507943,,
The Quad,47.6569545,-122.3078511,2/16/2025 8:00,4.181973,0.253427,-0.332018,,
Union Bay,47.65538146,-122.2924873,2/16/2025 9:00,4.385463,0.589495,0.059119,,
Arboretum,47.65810245,-122.2987361,2/16/2025 10:00,4.73767,0.169459,0.377776,,
The Quad,47.6569545,-122.3078511,2/16/2025 11:00,4.771967,0.278412,0.045119,,
The Quad,47.6569545,-122.3078511,2/16/2025 12:00,4.209481,0.414292,0.090291,,
The Quad,47.6569545,-122.3078511,2/16/2025 13:00,4.129795,0.383784,-0.226389,,
The Quad,47.6569545,-122.3078511,2/16/2025 14:00,4.083497,1.072861,-0.047401,,
The Quad,47.6569545,-122.3078511,2/16/2025 15:00,4.861526,0.532958,-0.040458,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 16:00,4.536898,0.519186,0.510803,,
Union Bay,47.65538146,-122.2924873,2/16/2025 17:00,4.236596,0.383756,-0.124408,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 18:00,4.353304,0.170969,0.408252,,
Union Bay,47.65538146,-122.2924873,2/16/2025 19:00,4.31346,0.695911,-0.136175,,
Union Bay,47.65538146,-122.2924873,2/16/2025 20:00,4.429335,0.211021,0.415739,,
Sylvan Grove,47.65319212,-122.3067571,2/16/2025 21:00,4.695473,0.198789,0.64364,,
Arboretum,47.65810245,-122.2987361,2/16/2025 22:00,4.490028,0.808478,0.448591,,
Arboretum,47.65810245,-122.2987361,2/16/2025 23:00,4.293861,0.765577,0.108169,,
Arboretum,47.65810245,-122.2987361,2/17/2025 0:00,3.956831,0.34713,0.46265,,
Union Bay,47.65538146,-122.2924873,2/17/2025 1:00,4.031799,1.029377,0.356536,,
Union Bay,47.65538146,-122.2924873,2/17/2025 2:00,4.786541,0.473279,0.491039,,
Arboretum,47.65810245,-122.2987361,2/17/2025 3:00,3.973168,0.752966,0.140509,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 4:00,4.830202,0.832421,-0.271246,,
The Quad,47.6569545,-122.3078511,2/17/2025 5:00,4.027641,0.243834,0.512868,,
Union Bay,47.65538146,-122.2924873,2/17/2025 6:00,4.894929,0.673057,0.454517,,
The Quad,47.6569545,-122.3078511,2/17/2025 7:00,4.814928,0.456922,0.509641,,
Arboretum,47.65810245,-122.2987361,2/17/2025 8:00,4.521793,0.733461,-0.146654,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 9:00,4.686362,0.61802,0.031987,,
The Quad,47.6569545,-122.3078511,2/17/2025 10:00,4.194848,0.841862,-0.137119,,
Arboretum,47.65810245,-122.2987361,2/17/2025 11:00,4.806058,0.559521,0.475223,,
Arboretum,47.65810245,-122.2987361,2/17/2025 12:00,4.726752,0.909937,0.430844,,
Arboretum,47.65810245,-122.2987361,2/17/2025 13:00,4.546903,0.803679,-0.248728,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 14:00,4.469319,0.501323,-0.004007,,
Arboretum,47.65810245,-122.2987361,2/17/2025 15:00,4.765674,0.271738,-0.280439,,
Arboretum,47.65810245,-122.2987361,2/17/2025 16:00,4.624483,0.221844,-0.09308,,
Union Bay,47.65538146,-122.2924873,2/17/2025 17:00,4.71664,1.005231,-0.146277,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 18:00,4.638759,0.466311,0.271926,,
Union Bay,47.65538146,-122.2924873,2/17/2025 19:00,3.986127,0.767356,0.531593,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 20:00,4.317324,0.673762,-0.213216,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 21:00,3.992469,0.411644,0.289403,,
Sylvan Grove,47.65319212,-122.3067571,2/17/2025 22:00,4.04807,0.837962,0.504436,,
The Quad,47.6569545,-122.3078511,2/17/2025 23:00,4.40861,0.316679,0.129978,,
Sylvan Grove,47.65319212,-122.3067571,2/18/2025 0:00,4.482985,0.497085,-0.031193,,
Sylvan Grove,47.65319212,-122.3067571,2/18/2025 1:00,4.650421,0.639098,0.083734,,
Sylvan Grove,47.65319212,-122.3067571,2/18/2025 2:00,4.891255,0.634253,0.071281,,
Arboretum,47.65810245,-122.2987361,2/18/2025 3:00,4.882804,1.108713,0.453543,,
Arboretum,47.65810245,-122.2987361,2/18/2025 4:00,3.928125,0.310259,0.091066,,
Sylvan Grove,47.65319212,-122.3067571,2/18/2025 5:00,4.205051,0.680692,0.472384,,
Arboretum,47.65810245,-122.2987361,2/18/2025 6:00,4.475447,1.075574,0.18281,,
Sylvan Grove,47.65319212,-122.3067571,2/18/2025 7:00,4.055416,1.049134,0.295124,,
Arboretum,47.65810245,-122.2987361,2/18/2025 8:00,4.020753,0.612069,0.107515,,
The Quad,47.6569545,-122.3078511,2/18/2025 9:00,3.90549,0.830696,-0.333135,,
Sylvan Grove,47.65319212,-122.3067571,2/25/2025 13:25,4.317324,0.673762,-0.213216,,
Union Bay,47.65319212,-122.3067571,2/26/2025 14:00,4.317324,0.673762,-0.213216,,
Arboretum,47.65810245,-122.2987361,2/26/2025 15:00,4.020753,0.612069,0.107515,,
Arboretum,47.65810245,-122.2987361,2/26/2025 15:30,8.020753,2.612069,2.107515,,
