sensorName,lat,long,transmitDateTime,CO,NH3,NO2,TDS,turbidity
dummy,47.65637,-122.30964,2025-03-12 09:00:39,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 09:23:02,4.359940,0.564248,-1.000000,80.241898,4.998779
dummy,47.65637,-122.30964,2025-03-12 09:30:39,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 10:23:02,4.360250,0.566504,-1.000000,80.529633,4.998779
dummy,47.65637,-122.30964,2025-03-12 10:30:40,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 11:00:41,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 11:23:03,4.359838,0.567253,-1.000000,80.780685,4.998779
dummy,47.65637,-122.30964,2025-03-12 11:30:41,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 11:53:03,4.360315,0.572828,-1.000000,80.950699,4.998779
prototype,47.653132,-122.306114,2025-03-12 12:23:03,4.362709,0.597558,-1.000000,81.129837,4.998779
dummy,47.65637,-122.30964,2025-03-12 12:30:42,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 12:46:48,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 12:47:21,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 12:48:50,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 12:53:03,4.382157,0.786233,-1.000000,81.563461,4.998779
